"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"1213","Rosanne Cash","Country, Americana, Country Pop, Country Folk","AriolaColumbiaCapitolManhattanBlue Note","Johnny Cash, Rodney Crowell, Emmylou Harris, John Stewart, Steve Earle, Lucinda Williams",NA,"(1955-05-24) May 24, 1955 (age 62)",NA,"Vocals, guitar",NA,"Singer-songwriter, author","Memphis, Tennessee, United States","1978–present",NA,NA,"Official website",NA
"1214","Chris Smither","Folk, rock, blues","Poppy, United Artists, Adelphi, Flying Fish, High Tone, Signature Sounds",NA,NA,"(1944-11-11) November 11, 1944 (age 72)Miami, Florida, U.S.",NA,"Vocals, guitar",NA,"Singer-songwriter",NA,"1967–present",NA,NA,"www.smither.com",NA
"1215","Fourplay","Smooth jazz","Warner Bros.Arista/BluebirdHeads Up",NA,NA,NA,NA,NA,NA,NA,NA,"1991–present","Bob James
Nathan East
Harvey Mason","Lee Ritenour
Larry Carlton
Chuck Loeb (deceased)","www.fourplayjazz.com",NA
"1216","Ralph Stanley","Bluegrass, old-time, folk","Columbia, Rebel","Clinch Mountain Boys, Stanley Brothers","Ralph Edmund Stanley","(1927-02-25)February 25, 1927McClure, Virginia, U.S.","June 23, 2016(2016-06-23) (aged 89)Coeburn, Virginia","Banjo",NA,"Bluegrass musician","Big Spraddle Creek, Virginia, U.S.","1946–2016",NA,NA,"drralphstanleymusic.com",NA
"1217","The Rippingtons","Smooth jazz, jazz fusion, jazz pop, crossover jazz","GRP, Windham Hill, Peak, Concord",NA,NA,NA,NA,NA,NA,NA,"United States","1985–present","Russ Freeman",NA,"www.rippingtons.com",NA
"1218","The Grascals","bluegrass, southern gospel","Rounder Records, Cracker Barrel, Saguaro Road Records, Mountain Home",NA,NA,NA,NA,NA,NA,NA,"Nashville, Tennessee.","2004 to present","Terry Eldredge
John Bryan
Danny Roberts
Terry SmithKristin Scott BensonAdam Haynes","Dave TalbotJimmy MattinglyAaron McDarisJeremy Abshire
Jamie Johnson",NA,NA
"1219","Chip Taylor","Country
pop music","Buddah
Warner Bros.
CBS
Capitol
Train Wreck","Carrie Rodriguez
Kendel Carson
John Platania","James Wesley Voight","(1940-03-21) March 21, 1940 (age 77)",NA,NA,NA,"Singer-songwriter, songwriter, record producer","Yonkers, New York, U.S.","1960s–present",NA,NA,NA,NA
"1220","Nick Lowe","Pub rock
new wave
power pop","Columbia
Demon
F-Beat
Radar
Reprise
Upstart
Yep Roc
Stiff
Proper","Brinsley Schwarz
Rockpile
Elvis Costello
The Attractions
The Imposters
Huey Lewis and the News
Noise To Go
The Cowboy Outfit
Carlene Carter
Johnny Cash
Little Village
Bill Kirchen
Dr Feelgood
Los Straitjackets","Nicholas Drain Lowe","(1949-03-24) 24 March 1949 (age 68)Walton-on-Thames, Surrey, England",NA,"Vocals
bass
guitar
keyboards",NA,"Musician
singer-songwriter",NA,"1966–present",NA,NA,"nicklowe.net",NA
"1221","Raheem DeVaughn","R&B, Neo soul","Jive (2002–2011)
Mass Appeal/Fontana Distribution (2012-2014)Entertainment One (2014-present)","Cee-Lo, Bilal, Musiq Soulchild, Kenny Dope, DJ Jazzy Jeff, Dwele, Jill Scott, Logic, King Los","Raheem DeVaughn","(1975-05-05) May 5, 1975 (age 42)Newark, New Jersey, United States",NA,"vocals",NA,"Singer, songwriter","Washington, D.C.","2002–present",NA,NA,NA,"Chronkite, Radio Raheem"
"1222","Jack Ingram","Country","Rhythmic, Rising Tide, Lucky Dog, Columbia, Big Machine, Blaster","Hinder, Jeremy Stover, Bruce Robison, Charlie Robison, Patty Griffin","Jack Owen Ingram","(1970-11-15) November 15, 1970 (age 46)",NA,"Vocals, guitar",NA,"Singer-songwriter","The Woodlands, Texas, U.S.","1992–present",NA,NA,"jackingram.net",NA
"1223","Level 42","Jazz-funk,[1][2][3]sophisti-pop,[1][4]dance-rock,[1]new wave,[3]synthpop[2]","Polydor, RCA, W14 / Universal, Level42 Records",NA,NA,NA,NA,NA,NA,NA,"Isle of Wight, England","1980–1994, 2001–present","Mark KingMike Lindup
Nathan King
Sean Freeman
Pete Ray Biggin","Phil GouldRowland 'Boon' GouldGary HusbandAlan Murphy","www.level42.com",NA
"1224","Mose Allison","Jazz
jazz blues
blues",NA,NA,"Mose John Allison Jr.","(1927-11-11)November 11, 1927Tippo, Mississippi, United States","November 15, 2016(2016-11-15) (aged 89)Hilton Head, South Carolina, U.S.","Piano
vocals
trumpet",NA,NA,NA,"1956–2015",NA,NA,"moseallison.com",NA
"1225","Larry Graham","Funk, soul, R&B","Epic, Warner Bros., NPG, Rhino, Sphinx","Sly and the Family Stone, Prince, Graham Central Station, Drake","Larry Graham Jr.","(1946-08-14) August 14, 1946 (age 71)Beaumont, Texas, U.S.",NA,"Vocals, bass, guitar, keyboards, organ, harmonica","Notable instruments","Musician, songwriter, producer",NA,"1961–present",NA,NA,"larrygraham.com",NA
"1226","Jon Anderson","Progressive rock
symphonic rock
pop rock
new-age","Atlantic
Polydor
Elektra
Columbia
Angel
Windham Hill
Higher Octave
Eagle
Cleopatra
Voiceprint
Wounded Bird
EMI","The Warriors
The Gun
Yes
Jon and Vangelis
Anderson Bruford Wakeman Howe
Anderson, Rabin and Wakeman","John Roy Anderson","(1944-10-25) 25 October 1944 (age 72)Accrington, Lancashire, England",NA,"Vocals
guitar
harp
ukulele
percussion",NA,"Singer
songwriter
musician",NA,"1963–present",NA,NA,"www.jonanderson.com",NA
"1227","Andy McKee","Folk, fingerstyle, percussive fingerstyle","Razor & Tie, CandyRat Records, Mythmaker Records","Gabriella Quevedo",NA,"(1979-04-04) April 4, 1979 (age 38)[1]Topeka, Kansas, U.S.",NA,"Guitar, baritone guitar, harp guitar","Notable instruments","Guitarist",NA,"2001–present",NA,NA,"www.andymckee.com",NA
"1228","Hot Rize","Bluegrass, progressive bluegrass, folk","Sugar Hill Records, Flying Fish","Jerry Douglas, Red Knuckles and the Trailblazers",NA,NA,NA,NA,NA,NA,"Colorado, United States","1978–present","Nick Forster
Tim O'Brien
Pete Wernick
Bryan Sutton","Charles Sawtelle
Mike Scap",NA,NA
"1229","Richard Elliot","Jazz",NA,"Tower of Power","Richard Joel Elliot","(1960-01-16) January 16, 1960 (age 57)Glasgow, Scotland",NA,"Saxophone",NA,"Musician","Los Angeles, California","1977–present",NA,NA,"www.richardelliot.com",NA
"1230","Fantasia Barrino","R&B
soul
hip hop soul
gospel","J
19
RCA","Missy Elliott","Fantasia Monique Barrino","(1984-06-30) June 30, 1984 (age 33)High Point, North Carolina, United States",NA,"Vocals",NA,"Singer
songwriter
actress
author",NA,"2004–present",NA,NA,"fantasiaofficial.com","Fantasia"
"1231","Maxx Factor","Barbershop",NA,NA,NA,NA,NA,NA,NA,NA,"Baltimore, Maryland, USA","2007–present","Molly Dalton Plummer – tenor
Leslie Wodday – lead
Dawn Adams Clifford – baritone
Valerie Hadfield-Rasnake – bass","Kim Gray Hudson – baritone (2007–12)","maxxfactorquartet.com",NA
"1232","John Oates","Blue-eyed soul
pop rock
R&B
soul
Philly soul
soft rock
bluegrass","Atlantic
RCA
Epic
Arista
U-Watch","Carly Simon
Hall & Oates","John William Oates","(1948-04-07) April 7, 1948 (age 69)
New York City, New York, United States",NA,"Guitar
vocals",NA,"Guitarist, musician, songwriter, record producer","Philadelphia, Pennsylvania, United States","1966–present",NA,NA,"hallandoates.com",NA
"1233","Carrie Newcomer","Folk, Americana, World music","Philo, Rounder, Concord Music Group, Available Light Records",NA,NA,"Dowagiac, Michigan, United States",NA,"Guitar, Vocal, Mountain Dulcimer",NA,"Singer-songwriter, musician, author",NA,"1980–present",NA,NA,"carrienewcomer.com",NA
"1234","Bobby McFerrin","Jazz, a cappella, vocal, world, classical, smooth jazz","Manhattan, Blue Note, Elektra, Sony Classical","Chick Corea, Herbie Hancock, Yo-Yo Ma","Robert Keith McFerrin Jr.","(1950-03-11) March 11, 1950 (age 67)Manhattan, New York, U.S.",NA,"Vocals, piano",NA,"Musician, conductor, arranger, producer",NA,"1977–present",NA,NA,"bobbymcferrin.com",NA
"1235","Swing Out Sister","Pop[1]
pop rock[1]
sophisti-pop[2]","Mercury, Fontana, Shanachie",NA,NA,NA,NA,NA,NA,NA,"Manchester, England, UK","1985–present","Andy ConnellCorinne Drewery","Martin Jackson","swingoutsister.com",NA
"1236","David Sanborn","Jazz, jazz fusion, rock, R&B, pop, funk","Verve, GRP, Rhino, Elektra, Warner Bros., Reprise",NA,NA,"(1945-07-30) July 30, 1945 (age 72)Tampa, Florida, United States",NA,"Saxophone, piano",NA,"Musician",NA,"1959–present",NA,NA,"Official website",NA
"1237","Travis Tritt","Country","Warner Bros.ColumbiaCategory 5
Post Oak","Gregg BrownDana McVickerMarty StuartRicky Skaggs","James Travis Tritt[1]","(1963-02-09) February 9, 1963 (age 54)",NA,"Vocals, guitar, banjo[2]",NA,"Singer, songwriter, actor","Marietta, Georgia, U.S.","1989–present",NA,NA,"http://www.travistritt.com/",NA
"1238","The Manhattans","Rhythm and blues, soul","Carnival Records, Columbia Records, King Records",NA,NA,NA,NA,NA,NA,NA,"Jersey City, New Jersey, United States","1962–present",NA,NA,NA,NA
"1239","The Association","Sunshine pop[1]","Jubilee, Valiant, Warner Bros., Columbia, Mums, RCA Records, Elektra",NA,NA,NA,NA,NA,NA,NA,"California, United States","1965–1978; 1979–present","Jules Gary Alexander
Jim Yester
Bruce Pictor
Del Ramos
Jordan Cole
Paul Holland","Larry Ramos†
Russ GiguereTerry KirkmanBrian Cole†
Ted Bluechel Jr
Bob Page
Richard Thompson†
Wolfgang Meltz
Mike Berkowitz
Maurice Miller†
Art Johnson
David Vaught†
Jerry Yester
Dwayne SmithAndy Chapin†
Larry Brown
Jay Gruska
David Morgan
Cliff Woolley
Ric Ulsky
Russ Levine
John William Tuttle†
Jack Harris
Keith Moret
Joe Lamanno
Paul Beach
Brian Puckett
Michael Leroy Peed
Donni Gougeon
Chris Urmston
Bob Werner
David Jackson
Blair Anderson
Godfrey Townsend
†Deceased","The Association official website",NA
"1240","Jennifer Knapp","Folk rock, Christian rock","Gotee, EMI CMG, Graylin, ThirtyTigers/RED, Righteous Babe",NA,NA,"(1974-04-12) April 12, 1974 (age 43)",NA,NA,NA,NA,"Chanute, Kansas, U.S.","1994–2003, 2009–present",NA,NA,"www.jenniferknapp.com",NA
"1241","Rick Braun","Smooth jazz, jazz fusion, pop","Artistry Music, Mack Avenue","BWB, Philippe Saisse, Auracle, Richard Elliot",NA,"(1955-07-06) July 6, 1955 (age 62)Allentown, U.S.",NA,"Trumpet",NA,"Musician",NA,NA,NA,NA,"rickbraun.com",NA
"1242","Jonathan Butler","Rhythm and blues, jazz fusion, contemporary worship music","Artistry, Mountain, Jive, Rendezvous","Pacific Express, Kirk Whalum, Ruby Turner, Boney James, Dave Koz","Jonathan Kenneth Butler","(1961-10-10) 10 October 1961 (age 55)Athlone, Cape Town South Africa",NA,"Vocals, guitar","Notable instruments","Musician, songwriter",NA,NA,NA,NA,"www.jonathanbutler.com",NA
"1243","Nnenna Freelon","Vocal jazz, cool jazz, traditional pop","Concord, Columbia",NA,"Chinyere Nnenna Pierce","(1954-07-28) July 28, 1954 (age 63)Cambridge, Massachusetts, U.S.",NA,"Singing",NA,"Musician",NA,"1992–present",NA,NA,"www.nnenna.com",NA
"1244","Dan Tyminski","Bluegrass","Doobie Shea, Rounder",NA,"Daniel John Tyminski[1]","(1967-06-20) June 20, 1967 (age 50)Rutland, Vermont, United States",NA,NA,"Notable instruments","Singer, musician",NA,"1988–present",NA,NA,"dantyminski.com",NA
"1245","Dan Bern","Folk, rock, pop","Messenger, Cooking Vinyl, Work",NA,"Daniel Bern","Mount Vernon, Iowa, U.S.",NA,"Vocals, guitar, harmonica",NA,"Musician, songwriter, author, visual artist",NA,NA,NA,NA,"danbern.com","Bernstein
Cunliffe Merriwether"
"1246","Stephanie Mills","R&B
soul
gospel","Motown
20th Century
Casablanca
MCA
GospoCentric
LightYear
Expansion Records",NA,"Stephanie Dorthea Mills","(1957-03-22) March 22, 1957 (age 60)Brooklyn, New York City, New York, United States",NA,"Piano
guitar
vocals",NA,"Singer-songwriter",NA,"1966–present",NA,NA,NA,NA
"1247","Sharon Little","R&B, blues, soul, pop","CBS Records",NA,NA,"c. 1980",NA,NA,NA,NA,"Philadelphia, Pennsylvania, USA","2006-present",NA,NA,"www.sharonlittle.com",NA
"1248","Nils Lofgren","Roots rock, heartland rock, blues rock, hard rock","A&M, Columbia, MCA, Rykodisc, Capitol, Vision Music, Pure Records; Fantasy","E Street Band, Neil Young, Crazy Horse, Ringo Starr & His All-Starr Band, Patti Scialfa, Grin","Nils Hilmer Lofgren","(1951-06-21) June 21, 1951 (age 66)
Chicago, Illinois
United States",NA,"Vocals, guitar, keyboards, accordion, dobro, pedal steel guitar, banjo, harp, lap steel guitar","Notable instruments","Musician, songwriter, athlete",NA,"1965–present",NA,NA,"nilslofgren.com",NA
"1249","Cherryholmes","Bluegrass","Skaggs Family Records",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, California","1999 (1999)–2011 (2011)",NA,"Jere Cherryholmes (Pop), Sandy Lee Cherryholmes, Cia Leigh Cherryholmes, Molly Kate Cherryholmes, B.J. Cherryholmes, Skip Cherryholmes","www.cherryholmes.com",NA
"1250","Jaheim","R&B' hip hop","Warner Bros. Records, Atlantic Records, BMG, Julie's Dream Music Group",NA,"Jaheim Hoagland","(1978-05-26) May 26, 1978 (age 39)",NA,NA,NA,"Singer-songwriter, producer","New Brunswick, New Jersey, U.S.","1996–present",NA,NA,"Official Site","Jaheim, Jah (Jah)"
"1251","Jimmie Vaughan","Electric blues,[1]blues rock,[1]Texas blues, jazz blues","Epic, Shout! Factory","Stevie Ray Vaughan, The Fabulous Thunderbirds, Omar Kent Dykes, The Chessmen",NA,"(1951-03-20) March 20, 1951 (age 66)Dallas, Texas, U.S.",NA,"Guitar, vocals, organ","Notable instruments","Musician",NA,"1964–present",NA,NA,"jimmievaughan.com",NA
"1252","Lucy Wainwright Roche","Folk",NA,"Loudon Wainwright III, Suzzy Roche, The Roches, The Wainwright Sisters, Rufus Wainwright, Sloan Wainwright",NA,"(1981-12-16) December 16, 1981 (age 35)Greenwich Village,New York City, New York, U.S.",NA,"Vocals, guitar",NA,"Singer-songwriter",NA,"2007–present",NA,NA,"http://lucywainwrightroche.com http://myspace.com/lwrlwr",NA
"1253","Firefall","Country rock, pop rock, soft rock","Atlantic Records",NA,NA,NA,NA,NA,NA,NA,"Boulder, Colorado, U.S.","1974–present","Jock BartleyMark AndesDavid Muse
Sandy Ficca
Gary Jones","Rick RobertsLarry BurnettMichael Clarke
George HawkinsTris Imboden
Kim StoneJohnne Sambataro
Chuck Kirkpatrick
Scott Kirkpatrick
Greg Overton
Steve Hadjoupolos
Bob Gaffney
Mark Oblinger
Dan Clawson
Bruce Crichton
Steve Manshel
Bil Hopkins
Bray Ghiglia
Jim Waddell
Bob Fisher
Jace Hill
Chris Ball
Kevin Alban","Official site",NA
"1254","Terri Clark","Country","Mercury Nashville, BNA, BareTrack/Capitol Nashville/EMI Canada","Tom Shapiro, Reba McEntire, Dean Brody, Johnny Reid, Dierks Bentley, Shania Twain","Terri Lynn Sauson","(1968-08-05) August 5, 1968 (age 49)Montreal, Quebec, Canada",NA,"Vocals, Guitar",NA,"Singer, songwriter","Medicine Hat, Alberta, Canada","1994–present",NA,NA,"Terri Clark Official Website",NA
"1255","Ian Anderson","Progressive rock, folk rock, hard rock, blues rock","Chrysalis, Fuel 2000, RandM, Angel, EMI","Jethro Tull, Roy Harper, Dave Pegg, David Goodier, Doane Perry, Peter-John Vettese, Andrew Giddings, Martin Barre, Steven Wilson, Toto, Scott Hammond","Ian Scott Anderson","(1947-08-10) 10 August 1947 (age 70)Dunfermline, Fife, Scotland",NA,"Vocals
Flute
Guitar","Notable instruments","Musician, composer, singer-songwriter","Blackpool, Lancashire, England","1962–present",NA,NA,"IanAnderson.com",NA
"1256","Basia","Pop[1]
jazz-pop[1]
soul[2]
samba[2]
swing[2]
bossa nova[2]
sophisti-pop[3]","Epic, Koch","Matt Bianco, Peter White, Perfect","Barbara Trzetrzelewska","(1954-09-30) September 30, 1954 (age 62)Jaworzno, Poland",NA,NA,NA,"Singer-songwriter, record producer",NA,"1983–present",NA,NA,"www.basiasongs.com",NA
"1257","Katherine Jenkins","Classical-crossover, pop, operatic pop","Universal, Warner, Decca",NA,"Katherine Maria Jenkins","(1980-06-29) 29 June 1980 (age 37)",NA,"Voice (mezzo-soprano)",NA,NA,"Neath, Wales","1998–present",NA,NA,"KatherineJenkins.co.uk",NA
"1258","Natasha Bedingfield","R&B
pop
hip hop
soul
dance","EMI (current) Phonogenic
Epic (US)

(former)","Daniel Bedingfield
Nikola Rachelle
Sean Kingston","Natasha Anne Bedingfield","(1981-11-26) 26 November 1981 (age 35)Haywards Heath, West Sussex, England",NA,"Vocals
guitar
piano",NA,"Singer
songwriter",NA,"2001–present",NA,NA,"natashabedingfield.com",NA
"1259","Avery*Sunshine","R&B, soul","BigShine, Shanachie",NA,"Denise Nicole White","(1975-05-22) 22 May 1975 (age 42)
Chester, Pennsylvania",NA,"Piano, vocals",NA,"Singer-songwriter",NA,"1993 - present",NA,NA,"www.averysunshine.com",NA
"1260","Baaba Maal","Yela, Worldbeat","Mango, Palm, Marathon Artists",NA,NA,"(1953-11-12) November 12, 1953 (age 63)Podor, French West Africa
(now Senegal)",NA,"Vocals, guitar",NA,"Singer, songwriter, composer",NA,"1989—",NA,NA,"baabamaal.tv",NA
"1261","Van Hunt","Neo soul, funk, rock","Capitol (2001–2006)Blue Note (2007) Godless Hotspot/Thirty Tigers (2011–present)","Curtis Scott Whitehead, Jermaine Rand",NA,"(1970-03-08) March 8, 1970 (age 47)Dayton, Ohio, United States",NA,"vocals, guitar, bass, keyboards, drums saxophone",NA,"Singer, songwriter, musician, producer","Atlanta, Georgia, United States","1997–present",NA,NA,"vanhunt.com",NA
"1262","Spin Doctors","Rock
blues rock
funk rock
jam rock[1]","Sony, Uptown",NA,NA,NA,NA,NA,NA,NA,"New York City, New York, United States","1988–1999, 2001–present","Chris Barron
Aaron Comess
Eric SchenkmanMark White","Anthony KrizanIvan Neville
Eran Tabib
Carl Carter","www.spindoctors.com",NA
"1263","Chaka Khan","R&B
jazz
funk
soul
disco
adult contemporary
gospel","ABC
Warner Bros.
Reprise
MCA
NPG
Burgundy","Rufus
Prince
Natalie Cole
Whitney Houston
Stevie Wonder
Ashford & Simpson
Vesta Williams
George Benson
Stephen Bishop
Patti LaBelle
Luther Vandross
Gladys Knight
Aretha Franklin
Diana Ross
Mary J. Blige
Rick James
Cissy Houston
Lisa Fischer
Donna Summer","Yvette Marie Stevens","(1953-03-23) March 23, 1953 (age 64)Chicago, Illinois, U.S.",NA,"Vocals, percussion, drums",NA,"Singer-songwriter",NA,"1970–present",NA,NA,"chakakhan.com","Chaka Adunne Aduffe Yemoja Hodarhi Karifi Khan
Queen of Funk"
"1264","Jazz Crusaders","Jazz, jazz fusion, soul jazz, jazz funk","Pacific Jazz, ABC/Blue Thumb, MCA, GRP","Arthur Adams, Randy Crawford, Rena Scott",NA,NA,NA,NA,NA,NA,"Houston, Texas, U.S.","1952–2010",NA,"Wilton Felder (deceased)
Joe Sample (deceased)
Stix Hooper
Wayne Henderson (deceased)
Hubert Laws
Henry Wilson
Larry Carlton
Robert Popwell","www.jazzcrusaders.com",NA
"1265","Mediaeval Baebes","Classical, traditional, a cappella","Nettwerk, Venture/Virgin/EMI",NA,NA,NA,NA,NA,NA,NA,"England","1997–present","Katharine Blake
Melpomeni Kermanidou
Sophie Ramsay
Clare Edmondson
Josephine Ravenheart","List of past members
Helen Bird
Dorothy Carter
Teresa Casella
Sophie Evans
Rebecca Golant
Nicole Frobusch
Ruth Galloway
Vince Johnson
Karen Lupton
Camilla Hinsby
Carmen Schneider
Nichole Sleet
Rachel Van Asch
Audrey Evans
Cylindra Sapphire
Marie Findley
Melanie Garside
Claire Ravel
Maxine Fone
Sofia Escobar
Claire Rabbitt
Sarah Foster
Esther Dee
Emily Ovenden Anna Tam","www.mediaevalbaebes.com",NA
"1266","Chris Isaak","Rock and roll, rockabilly, roots rock, surf rock","Warner Bros. Records",NA,"Christopher Joseph Isaak","(1956-06-26) June 26, 1956 (age 61)Stockton, California, U.S.",NA,"Vocals, guitar, bass guitar",NA,"Singer-songwriter, musician, actor, talk show host",NA,"1984–present",NA,NA,"www.chrisisaak.com",NA
"1267","Rockapella","A cappella","Shakariki Records / PAID, Inc., Amerigo Records, J-Bird Records, Rentrak Records, ForLife Records",NA,NA,NA,NA,NA,NA,NA,"New York City, U.S.A.","1986–present","Scott LeonardJeff Thacher
Calvin Jones
Mitchell Rains
Bryant Vance","Sean Altman
Elliott Kerman
Steve Keyes
David Stix (deceased)[1]
Charlie EvettBarry Carl
Kevin Wright
John K. BrownGeorge Baldi IIISteven Dorian
Ryan Chappelle","www.rockapella.com",NA
"1268","Los Lonely Boys","Chicano rock
Blues rock
Roots rock
Tex-Mex
Latin rock","Playing In Traffic
Epic","Willie Nelson
John Porter
Steve Jordan
Carlos Santana
Dr. John",NA,NA,NA,NA,NA,NA,"San Angelo, Texas, U.S.","1996–present","Henry Garza
Jojo Garza
Ringo Garza",NA,"www.loslonelyboys.com",NA
"1269","Don Williams","Country","Columbia, Dot, ABC, MCA, Capitol, RCA, American Harvest, Giant, Koch, Compendia, Sugar Hill Records",NA,"Donald Ray Williams","(1939-05-27)May 27, 1939Floydada, Texas, U.S.","September 8, 2017(2017-09-08) (aged 78)Mobile, Alabama, U.S.","Vocals, guitar, piano, bass",NA,"Singer-songwriter",NA,"1964–2006
2010–2016",NA,NA,"www.don-williams.com",NA
